Algoritmizace; Dvořák Tomáš; Po; 10:40; 12:20; P
Diskrétní matematika; Kantor Ida; Po; 12:20; 14:00; P
Anglický jazyk; Krejčová Ela; Po; 14:00; 15:40; Cv
Programování I; Holan Tomáš; Út; 10:40; 12:20; P
Úvod do počítačových sítí; Forst Libor; Út; 12:20; 14:00; P
Algoritmizace; Holan Tomáš; Út; 14:50; 15:40; Cv
Programování I; Holan Tomáš; Út; 15:40; 17:20; Cv
Matematické problémy nematematiků; Hnětynková Iveta; St; 17:20; 19:00; P
Matematický proseminář; Hromadová Jana; Čt; 9:00; 10:40; Cv
Diskrétní matematika; Sedláček Petr; Čt; 10:40; 12:20; Cv
Matematické dovednosti; Klimošová Tereza; Čt; 12:20; 14:00; Cv
Lineární algebra I; Hubáček Pavel; Čt; 14:00; 15:40; Cv
Anglický jazyk; Krejčová Ela; Čt; 17:20; 19:00; Cv
IPS; Mareš Martin; Čt; 19:20; 20:50; Cv
Lineární algebra I; Fiala Petr; Pá; 10:40; 12:20; P
Principy počítačů; Ježek Pavel; Pá; 12:20; 14:00; P
