Programování II, Holan Tomáš, Po, 9:00, 10:40, P
Algoritmy a datové struktury I, Mareš Martin, Po, 10:40, 12:20, P
Počítačové systémy, Zavoral Filip, Po, 12:20, 14:00, Cv
Lineární algebra II, Maxová Jana, Po, 15:40, 17:20, Cv
Úvod do Linuxu, Horký Vojtěch, Út, 9:00, 10:40, P
Počítačové systémy, Yaghob Jakub, Út, 10:40, 12:20, P
Algoritmy a datové struktury I, Konczycki Kate, Út, 12:20, 14:00, Cv
Anglický jazyk, Hořká Zuzana, Út, 14:00, 15:40, Cv
Programování II, Holan Tomáš, Út, 15:40, 17:20, Cv
Úvod do kryptografie, Mareš Martin, St, 15:40, 17:20, P
Lineární algebra II, Fiala Petr, Čt, 9:00, 10:40, P
Matematická analýza I, Klazar Martin, Čt, 10:40, 12:20, P
Matematická analýza I, Tancer Martin, Čt, 12:20, 14:00, Cv
IPS II, Mareš Martin, Čt, 19:20, 20:50, Cv
Úvod do Linuxu, Mareš Martin, Pá, 9:00, 10:40, Cv
