Výroková a predikátová logika, Pantůčková Kristýna, Po, 10:40, 12:20, Cv
Matematická analýza II, Krylová Naděžda, Po, 12:20, 14:00, Cv
Kombinatorika a grafy I, Mareš Martin, Po, 14:00, 15:40, Cv
Matematická analýza II, Pultr Aleš, Po, 15:40, 17:20, P
Programování v jazyce Java, Galgonek Jakub, Út, 15:40, 17:20, Cv
Ochrana informací I, Beneš Antonín, Út, 17:20, 18:50, P
Programování v jazyce Java, Hnětynka Petr, St, 9:00, 10:40, P
Algoritmy a datové struktury II, Matějka Josef, St, 12:20, 14:00, Cv
Bezpečnost softwarových systémů v praxi, Zavoral Filip, St, 14:00, 15:40, P
Kombinatorika a grafy II, Jelínek Vít, St, 15:40, 17:20, P
Algoritmy a datové struktury II, Mareš Martin, Čt, 10:40, 12:20, P
Algebra I, Žemlička Jan, Čt, 12:20, 14:00, P
Anglický jazyk, Krejčová Ela, Čt, 15:40, 17:20, Cv
Výroková a predikátová logika, Bulín Jakub, Čt, 17:20, 18:50, P
Algebra I, Krasula Dominik, Pá, 9:00, 10:40, Cv
