Počítačová algebra, Slávik Alexander, Po, 12:20, 14:00, Cv
Úvod do aproximačních a pravděpodobnostních algoritmů, Kotecký Cyril, Po, 14:00, 15:40, Cv
Počítačová algebra, Patáková Zuzana, Po, 15:40, 17:20, P
Databázové systémy, Kopecký Michal, Po, 17:20, 18:50, P
Animace a grafika v počítačových hrách, Lukáš Kolek, Út, 12:20, 14:00, P
Matematická kryptografie a kryptoanalýza I, El Bashir Robert, St, 9:00, 10:40, P
Databázové systémy, Lokoč Jakub, St, 10:40, 12:20, Cv
Fraktály a chaotická dynamika, Kučera Václav, St, 17:20, 18:50, P
Grafové algoritmy, Mareš Martin, Čt, 10:40, 12:20, P
Úvod do aproximačních a pravděpodobnostních algoritmů," Kolman Petr, Sgall Jiří", Čt, 14:00, 15:40, P
Matematická kryptografie a kryptoanalýza I, Středa Adolf, Pá, 9:00, 10:40, Cv
Úvod do teorie čísel, Klazar Martin, Pá, 15:40, 17:20, P
