Foundations of theoretical cryptography, Pavel Hubáček, Po, 14:00, 15:40, P
Počítačové útoky v modelech a praxi, Tomáš Rosa, Po, 15:40, 17:20, P
Výpočetní logika, Mikoláš Janota, Út, 9:00, 10:40, P
Výpočetní logika, Mikoláš Janota, Út, 10:40, 12:20, Cv
Algoritmy na mřížích, Om Prakash, Út, 12:20, 14:00, Cvv
Algoritmy na polynomech, Pavel Příhoda, Út, 14:00, 15:40, P
Konvexní optimalizace, Michael Kompatscher, Út, 17:20, 18:50, P
Konvexní optimalizace, Michael Kompatscher, St, 10:40, 12:20, P
Algoritmy na mřížích, Pavlo Yatsyna, St, 17:20, 18:50, P
Foundations of theoretical cryptography, Pavel Hubáček, Čt, 10:40, 12:20, Cv
Konvexní optimalizace, Michael Kompatscher, Čt, 15:40, 17:20, Cv
Algoritmy na polynomech, Martin Borýsek, Čt, 17:20, 18:50, Cvv
Booleovské funkce, Faruk Göloglu, Pá, 10:40, 12:20, P
