Úvod do teorie grup, David Stanovský, Po, 12:20, 14:00, P
Úvod do teorie grup, David Stanovský, Po, 14:00, 15:40, Cv
Pravděpodobnostní techniky, Tereza Klimošová a Matěj Konečný, Út, 09:00, 10:40, P
Výběrový seminář z MIT, Adolf Středa, Út, 09:00, 10:40, Cv
Základy teorie kategorií pro informatiky, Aleš Pultr, Út, 10:40, 12:20, P
Příprava na CTF, Milan Boháček, Út, 10:40, 12:20, Cv
Základy složitosti a vyčíslitelnosti, Petr Kučera, Út, 12:20, 14:00, P
Číselné síto, Pavel Příhoda, Út, 14:00, 15:40, P
Programování v jazyce Rust, Lukáš Hozdaa Miroslav Kratochvíl, Út, 14:00, 15:40, Cv
Pravděpodobnostní techniky, Tomáš Hons a Giuseppe Pino, Út, 15:40, 17:20, Cv
Základy složitosti a vyčíslitelnosti, Petr Kučera, St, 10:40, 12:20, Cv
Právní aspekty ochrany dat, Ján Matejka, St, 12:20, 14:00, P
Zabezpečení síťových protokolů, Milan Boháček, Čt, 12:20, 14:00, P
Zabezpečení síťových protokolů, Milan Boháček, Čt, 14:00, 15:40, Cv
